"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
PGR,90.39,-7.68,5748500,94.35,94.47,94.67,93.33,89.71,88.49,87.38,94.97,94.41,88.57,0,0,-0.21,-0.13,
NLSN,15.64,10.30,5664700,14.46,14.27,14.19,14.39,14.84,15.08,15.35,14.02,14.53,14.77,0,0,-0.0012,-0.01,
LB,32.52,-2.40,5473300,33.20,33.18,32.97,30.44,26.76,25.79,25.02,33.16,31.30,24.93,0,0,0.06,0.08,
LLY,142.33,-0.29,5425600,140.71,140.21,141.12,145.91,147.56,147.10,146.31,140.64,146.65,151.87,0,0,-0.74,-0.61,
REG,45.96,34.98,5278900,38.32,37.74,37.70,38.99,41.36,42.42,43.52,37.30,39.01,41.61,0,0,-0.14,-0.12,
ICE,98.22,-2.42,5231500,98.38,98.22,98.52,99.02,97.60,97.00,96.40,98.63,100.75,97.82,0,0,-0.26,-0.20,
NWL,19.11,1.22,5018600,18.81,18.51,18.22,17.47,16.87,16.76,16.69,18.07,17.32,16.59,0,0,0.03,0.03,
LEN,70.40,-6.87,4993200,74.55,75.32,76.41,76.23,71.95,70.45,69.07,77.46,78.10,71.85,0,0,-0.48,-0.32,
IR,42.78,6.29,4984900,39.44,38.51,37.84,36.11,34.34,33.89,33.52,37.50,36.30,33.53,0,0,0.03,0.03,
GPN,193.66,11.38,4822000,175.29,172.74,172.35,173.28,172.98,172.70,172.26,171.45,173.95,174.48,0,0,-0.70,-0.53,
PHM,40.64,-7.87,4757200,43.24,43.55,44.09,44.13,41.97,41.26,40.63,44.44,45.46,41.53,0,0,-0.29,-0.20,
MXIM,81.07,2.00,4695500,76.32,74.68,73.34,70.23,67.09,66.14,65.31,73.12,69.86,66.77,0,0,0.08,0.12,
HES,43.39,18.91,4636300,38.65,38.26,38.37,41.19,44.18,45.14,46.06,37.96,41.70,46.13,0,0,-0.09,-0.12,
NI,24.11,3.83,4572600,23.66,23.59,23.45,23.17,23.56,23.77,24.00,23.60,22.75,23.31,0,0,0.06,0.06,
